t,v(tgt),v(txd),i(tgt),i(txd)
0.000000000000000e+00,2.260082741896697e-02,0.000000000000000e+00,-1.331980193300591e-03,1.331980193277988e-03
4.800000000000001e-10,2.260082495906700e-02,0.000000000000000e+00,-1.331980194037262e-03,1.331980219638616e-03
9.600000000000002e-10,2.260082470305924e-02,0.000000000000000e+00,-1.331980194112480e-03,1.331980196756634e-03
1.920000000000000e-09,2.260082464977258e-02,0.000000000000000e+00,-1.331980194128137e-03,1.331980191993859e-03
3.840000000000001e-09,2.260082469428454e-02,0.000000000000000e+00,-1.331980194115059e-03,1.331980195972309e-03
7.680000000000002e-09,2.260082465354105e-02,0.000000000000000e+00,-1.331980194127030e-03,1.331980192330684e-03
1.536000000000000e-08,2.260082469253475e-02,0.000000000000000e+00,-1.331980194115573e-03,1.331980195815943e-03
3.072000000000001e-08,2.260082465438417e-02,0.000000000000000e+00,-1.331980194126782e-03,1.331980192406047e-03
6.144000000000001e-08,2.260082469212104e-02,0.000000000000000e+00,-1.331980194115695e-03,1.331980195778940e-03
1.094400000000000e-07,2.260082465460831e-02,0.000000000000000e+00,-1.331980194126716e-03,1.331980192426084e-03
1.574400000000000e-07,2.260082469194706e-02,0.000000000000000e+00,-1.331980194115746e-03,1.331980195763396e-03
2.054400000000000e-07,2.260082465478126e-02,0.000000000000000e+00,-1.331980194126665e-03,1.331980192441554e-03
2.534400000000000e-07,2.260082469177458e-02,0.000000000000000e+00,-1.331980194115796e-03,1.331980195748004e-03
3.014400000000000e-07,2.260082465495306e-02,0.000000000000000e+00,-1.331980194126615e-03,1.331980192456884e-03
3.494400000000000e-07,2.260082469160348e-02,0.000000000000000e+00,-1.331980194115846e-03,1.331980195732746e-03
3.974400000000000e-07,2.260082465512278e-02,0.000000000000000e+00,-1.331980194126565e-03,1.331980192472071e-03
4.454400000000000e-07,2.260082469143460e-02,0.000000000000000e+00,-1.331980194115896e-03,1.331980195717630e-03
4.934400000000001e-07,2.260082465529093e-02,0.000000000000000e+00,-1.331980194126516e-03,1.331980192487118e-03
5.414400000000001e-07,2.260082469126734e-02,0.000000000000000e+00,-1.331980194115945e-03,1.331980195702651e-03
5.894400000000001e-07,2.260082465545791e-02,0.000000000000000e+00,-1.331980194126467e-03,1.331980192502018e-03
6.374400000000001e-07,2.260082469110129e-02,0.000000000000000e+00,-1.331980194115994e-03,1.331980195687818e-03
6.854400000000001e-07,2.260082465562317e-02,0.000000000000000e+00,-1.331980194126418e-03,1.331980192516791e-03
7.334400000000001e-07,2.260082469093679e-02,0.000000000000000e+00,-1.331980194116042e-03,1.331980195673120e-03
7.814400000000001e-07,2.260082465578681e-02,0.000000000000000e+00,-1.331980194126370e-03,1.331980192531426e-03
8.294400000000001e-07,2.260082469077380e-02,0.000000000000000e+00,-1.331980194116090e-03,1.331980195658555e-03
8.774400000000001e-07,2.260082465594914e-02,0.000000000000000e+00,-1.331980194126322e-03,1.331980192545921e-03
9.254400000000001e-07,2.260082469061239e-02,0.000000000000000e+00,-1.331980194116138e-03,1.331980195644124e-03
