t,v(tgt),v(txd),i(tgt),i(txd)
0.000000000000000e+00,6.829044260960279e-01,0.000000000000000e+00,-4.317095573903972e-04,4.317095573903983e-04
4.800000000000001e-10,6.829044185597571e-01,0.000000000000000e+00,-4.317095581440243e-04,4.317096366468435e-04
9.600000000000002e-10,6.829044158394393e-01,0.000000000000000e+00,-4.317095584160561e-04,4.317095867527009e-04
1.920000000000000e-09,6.829044138755690e-01,0.000000000000000e+00,-4.317095586124431e-04,4.317095507327812e-04
3.840000000000001e-09,6.829044145419358e-01,0.000000000000000e+00,-4.317095585458064e-04,4.317095629548066e-04
7.680000000000002e-09,6.829044141229378e-01,0.000000000000000e+00,-4.317095585877062e-04,4.317095552698463e-04
1.536000000000000e-08,6.829044144590364e-01,0.000000000000000e+00,-4.317095585540964e-04,4.317095614343302e-04
3.072000000000001e-08,6.829044141573202e-01,0.000000000000000e+00,-4.317095585842680e-04,4.317095559004652e-04
6.144000000000001e-08,6.829044144433358e-01,0.000000000000000e+00,-4.317095585556664e-04,4.317095611463644e-04
1.094400000000000e-07,6.829044141655075e-01,0.000000000000000e+00,-4.317095585834493e-04,4.317095560506332e-04
1.574400000000000e-07,6.829044144371287e-01,0.000000000000000e+00,-4.317095585562871e-04,4.317095610325179e-04
2.054400000000000e-07,6.829044141715760e-01,0.000000000000000e+00,-4.317095585828424e-04,4.317095561619366e-04
2.534400000000000e-07,6.829044144311956e-01,0.000000000000000e+00,-4.317095585568804e-04,4.317095609236987e-04
3.014400000000000e-07,6.829044141773764e-01,0.000000000000000e+00,-4.317095585822624e-04,4.317095562683237e-04
3.494400000000000e-07,6.829044144255250e-01,0.000000000000000e+00,-4.317095585574475e-04,4.317095608196899e-04
3.974400000000000e-07,6.829044141829205e-01,0.000000000000000e+00,-4.317095585817080e-04,4.317095563700097e-04
4.454400000000000e-07,6.829044144201047e-01,0.000000000000000e+00,-4.317095585579895e-04,4.317095607202746e-04
4.934400000000001e-07,6.829044141882196e-01,0.000000000000000e+00,-4.317095585811781e-04,4.317095564672028e-04
5.414400000000001e-07,6.829044144149240e-01,0.000000000000000e+00,-4.317095585585076e-04,4.317095606252534e-04
5.894400000000001e-07,6.829044141932846e-01,0.000000000000000e+00,-4.317095585806715e-04,4.317095565601007e-04
6.374400000000001e-07,6.829044144099722e-01,0.000000000000000e+00,-4.317095585590028e-04,4.317095605344320e-04
6.854400000000001e-07,6.829044141981258e-01,0.000000000000000e+00,-4.317095585801874e-04,4.317095566488925e-04
7.334400000000001e-07,6.829044144052392e-01,0.000000000000000e+00,-4.317095585594761e-04,4.317095604476212e-04
7.814400000000001e-07,6.829044142027532e-01,0.000000000000000e+00,-4.317095585797247e-04,4.317095567337656e-04
8.294400000000001e-07,6.829044144007153e-01,0.000000000000000e+00,-4.317095585599285e-04,4.317095603646459e-04
8.774400000000001e-07,6.829044142071760e-01,0.000000000000000e+00,-4.317095585792824e-04,4.317095568148865e-04
9.254400000000001e-07,6.829044143963912e-01,0.000000000000000e+00,-4.317095585603609e-04,4.317095602853361e-04
9.734400000000001e-07,6.829044142114034e-01,0.000000000000000e+00,-4.317095585788597e-04,4.317095568924217e-04
1.021440000000000e-06,6.829044143922584e-01,0.000000000000000e+00,-4.317095585607742e-04,4.317095602095356e-04
1.069440000000000e-06,6.829044142154440e-01,0.000000000000000e+00,-4.317095585784556e-04,4.317095569665325e-04
1.117440000000000e-06,6.829044143883078e-01,0.000000000000000e+00,-4.317095585611692e-04,4.317095601370780e-04
1.165440000000000e-06,6.829044142193060e-01,0.000000000000000e+00,-4.317095585780694e-04,4.317095570373665e-04
1.213440000000000e-06,6.829044143845321e-01,0.000000000000000e+00,-4.317095585615468e-04,4.317095600678261e-04
1.261440000000000e-06,6.829044142229975e-01,0.000000000000000e+00,-4.317095585777003e-04,4.317095571050745e-04
1.309440000000000e-06,6.829044143809231e-01,0.000000000000000e+00,-4.317095585619077e-04,4.317095600016325e-04
1.357440000000000e-06,6.829044142265258e-01,0.000000000000000e+00,-4.317095585773474e-04,4.317095571697866e-04
1.405440000000000e-06,6.829044143774735e-01,0.000000000000000e+00,-4.317095585622527e-04,4.317095599383636e-04
1.453440000000000e-06,6.829044142298983e-01,0.000000000000000e+00,-4.317095585770102e-04,4.317095572316434e-04
1.501440000000000e-06,6.829044143741765e-01,0.000000000000000e+00,-4.317095585625824e-04,4.317095598778912e-04
1.549440000000000e-06,6.829044142331218e-01,0.000000000000000e+00,-4.317095585766878e-04,4.317095572907645e-04
1.597440000000000e-06,6.829044143710251e-01,0.000000000000000e+00,-4.317095585628975e-04,4.317095598200919e-04
1.645440000000000e-06,6.829044142362029e-01,0.000000000000000e+00,-4.317095585763797e-04,4.317095573472766e-04
1.693440000000000e-06,6.829044143680129e-01,0.000000000000000e+00,-4.317095585631987e-04,4.317095597648427e-04
1.741440000000000e-06,6.829044142391475e-01,0.000000000000000e+00,-4.317095585760852e-04,4.317095574012855e-04
1.789440000000000e-06,6.829044143651338e-01,0.000000000000000e+00,-4.317095585634867e-04,4.317095597120377e-04
1.837440000000000e-06,6.829044142419622e-01,0.000000000000000e+00,-4.317095585758038e-04,4.317095574529126e-04
1.885440000000000e-06,6.829044143623820e-01,0.000000000000000e+00,-4.317095585637618e-04,4.317095596615642e-04
1.933440000000000e-06,6.829044142446528e-01,0.000000000000000e+00,-4.317095585755347e-04,4.317095575022585e-04
1.981440000000000e-06,6.829044143597516e-01,0.000000000000000e+00,-4.317095585640248e-04,4.317095596133181e-04
2.029440000000001e-06,6.829044142472243e-01,0.000000000000000e+00,-4.317095585752776e-04,4.317095575494239e-04
